lat,lon,x,y,name,presence,mosaic
11.86786604,-66.69343301,751275,1312983.2,LAGUNA RABUSQUI,yes,yes
11.78339299,-66.87320079,731753.7,1303480.5,LOS CORRALES 1,no,no
11.79099961,-66.86122764,733052.6,1304332.1,LOS CORRALES 2,no,no
11.80394357,-66.85121285,734133.3,1305772.7,LOS CORRALES 3,no,no
11.8221671,-66.85377669,733838.4,1307786.9,LOS CORRALES 4,no,no
11.93941231,-66.66195027,754639.7,1320929.3,MADRISQUI 1,yes,yes
11.938467,-66.659432,754915,1320827,MADRISQUI 2,yes,no
11.76425854,-66.70378843,750240.4,1301508.8,MECETA DE COTE,no,no
11.87103061,-66.84773806,734454.9,1313198.7,MOSQUITO,yes,no
11.92465704,-66.72995799,747242.7,1319234.8,NORONQUIS AFUERA 1,yes,no
11.92883343,-66.74994052,745061.5,1319679.2,NORONQUIS BAJO SOTAVENTO,no,no
11.92246275,-66.72942689,747302.6,1318992.5,NORONQUIS BARLOVENTO,no,no
11.9230746,-66.74521122,745582,1319046.1,NORONQUIS MEDIO SOTAVENTO,yes,no
11.92087968,-66.73330094,746881.8,1318813.8,NORONQUIS SOTAVENTO,yes,yes
11.75327,-66.66607096,754363.1,1300326.7,NUBE VERDE 1,no,no
11.75319661,-66.67442956,753451.7,1300311,NUBE VERDE 2,no,no
11.83584612,-66.7036087,750195.1,1309430.7,PALAFITO,no,no
11.78619951,-66.88263959,730722.4,1303783.3,PELONA DMS,no,no
11.93570764,-66.65249977,755673,1320528,PIRATA 1,no,no
11.93463789,-66.65208685,755719,1320410,PIRATA BAJO 2,no,no
11.9369989,-66.65671924,755212,1320667,PIRATA BAJO 3 F,no,no
11.93706768,-66.65521362,755376,1320676,PIRATA BAJO 3 I,yes,no
11.93097082,-66.65229278,755700,1320004,PIRATA BAJO AFUERA 1,yes,no
11.92794343,-66.65443864,755469,1319667,PIRATA BAJO AFUERA 2,yes,no
11.94899297,-66.66272197,754546.7,1321988.8,PISTA 1,yes,no
11.94577499,-66.66637698,754151.4,1321629.3,PISTA 2,yes,no
11.74457756,-66.8577392,733472,1299198.5,RABO DE SALINA,yes,no
11.86481982,-66.82521122,736915.3,1312530.5,RABO ISLA LARGA,no,no
11.77543513,-66.73317898,747025.9,1302719.5,SALINA 1,no,no
11.77059962,-66.74896992,745308.6,1302170.6,SALINA 2,no,no
11.75639444,-66.77424576,742565.3,1300576.8,SALINA 3,no,no
11.74167374,-66.80964668,738718.2,1298917.6,SALINA 4,no,no
11.73649569,-66.84232176,735159.9,1298317.1,SALINA 5,no,no
11.819271,-66.71437042,749037,1307586.9,SARQUIS,yes,no
11.819476,-66.70948848,749569,1307614,SARQUIS 2,yes,no
11.78410467,-66.58353805,763333.4,1303815.1,SEBASTOPOL 1,no,no
11.82851226,-66.58887494,762709.1,1308724.5,SEBASTOPOL 2,no,no
11.78036036,-66.58364996,763324.7,1303400.6,SEBASTOPOL BOCA,no,no
11.772388,-66.58297444,763406,1302519,SEBASTOPOL FARO,no,no
11.766528,-66.59206811,762420,1301862,SEBASTOPOL VELERO,no,no
11.88070858,-66.93782585,724629.3,1314195.2,SELESQUI BARLOVENTO,no,no
11.87975425,-66.94020061,724371.3,1314087.7,SELESQUI SOTAVENTO,no,no
11.88861765,-66.82411102,737014.6,1315164.7,YONQUI BARLOVENTO,no,no
11.88609961,-66.82371502,737059.9,1314886.4,YONQUI SOTAVENTO,yes,no
11.888869,-66.82250855,737189,1315193.9,YONQUIS AFUERA 1,yes,no
11.899587,-66.88052452,730857.7188,1316331.041,CARENERO BARLOVENTO,no,no
